SỐ GPLH,NGÀY HẾT HẠN,Tên nguyên liệu,PHÂN LOẠI,TIÊU CHUẨN,CƠ SỞ SẢN XUẤT NGUYÊN LIỆU,NƯỚC SẢN XUẤT NGUYÊN LIỆU,ĐỊA CHỈ CƠ SỞ SẢN XUẤT NGUYÊN LIỆU,PHẢI CẤP PHÉP NHẬP KHẨU
VD-31635-19,2024-02-27T00:00:00+07:00,Quetiapine fumarate,Dược chất,IP 2014,HETERO DRUGS LIMITED,INDIA,,False
VD-31636-19,2024-02-27T00:00:00+07:00,Valsartan,Dược chất,USP 38,"UNITED PHARMA INDUSTRIES CO., LTD.",CHINA,,False
VD-31637-19,2024-02-27T00:00:00+07:00,Tenofovir disoproxil fumarate,Dược chất,TC NSX,"ZHEJIANG SUPOR PHARMACEUTICALS CO., LTD.",CHINA,,False
VD-31638-19,2024-02-27T00:00:00+07:00,Aciclovir,Dược chất,BP 2010,Polpharma S.A.,Poland,N/A,False
VD-31639-19,2024-02-27T00:00:00+07:00,Paracetamol,Dược chất,USP 35,"Novacyl (Wuxi) Pharmaceutical Co., Ltd.",CHINA,N/A,False
VD-31640-19,2024-02-27T00:00:00+07:00,Menthol,Dược chất,USP 35,Sharp Menthol India Limited,INDIA,N/A,False
VD-31640-19,2024-02-27T00:00:00+07:00,Methyl Salicylat,Dược chất,NSX,"Novacyl, Rhodia operations",France,N/A,False
VD-31640-19,2024-02-27T00:00:00+07:00,Camphor,Dược chất,USP 35,"Fujian Green Pine Co., Ltd.",CHINA,N/A,False
VD-31641-19,2024-02-27T00:00:00+07:00,Chlorpromazine Hydrochloride,Dược chất,BP 2010,"Changzhou Nanjiang Medical Chemical Co., Ltd.",CHINA,Wangxia viallage Luoxi Town Xinbei District Changzhou,True
VD-31642-19,2024-02-27T00:00:00+07:00,Acid Folic,Dược chất,USP 38,DSM Nutritional Products Ltd.,Switzerland,N/A,False
VD3-164-22,2025-01-05T00:00:00+07:00,Acid ursodeoxycholic,Dược chất,EP hiện hành,Deawoong Bio Inc,Korea,"- Địa chỉ trên GMP: 29  Jeyakdanji-ro, Hyangnam-eup, Hwaseong-si, Gyeonggi-do.
- Địa chỉ trên COA: 29  Jeyakdanji-ro, Hyangnam-eup, Hwaseong-si, Gyeonggi-do, 18608.",False
VD-31643-19,2024-02-27T00:00:00+07:00,Loratadine,Dược chất,USP 38,Vasudha Pharma Chem Limited,INDIA,N/A,False
VD-31644-19,2024-02-27T00:00:00+07:00,Menthol,Dược chất,BP 2016 /EP 8,Sharp Mint Limited,INDIA,N/A,False
VD-31644-19,2024-02-27T00:00:00+07:00,Eucalyptol,Dược chất,USP 38,Tien Yuan Chemical (PTE) Ltd.,Singapore,N/A,False
VD-31644-19,2024-02-27T00:00:00+07:00,Camphor,Dược chất,USP 38,"Fujian Green Pine Co., Ltd.",CHINA,N/A,False
VD-31644-19,2024-02-27T00:00:00+07:00,Thymol,Dược chất,USP 38 /NF 33,"Destilaciones Bordas Chinchurreta, S.A.",Spain,N/A,False
VD-31645-19,2024-02-27T00:00:00+07:00,Povidone Iodine,Dược chất,EP8,ISP,USA,N/A,False
VD-31646-19,2024-02-27T00:00:00+07:00,Pyridoxine Hydrochloride,Dược chất,BP 2013,"Jiangxi Tianxin Pharmaceutical Co., Ltd.",CHINA,N/A,False
VD-31646-19,2024-02-27T00:00:00+07:00,Magnesium Lactate Dihydrate,Dược chất,BP 2014,"Dr. Paul Lohmann, GmbH KG",GERMANY,N/A,False
VD-31647-19,2024-02-27T00:00:00+07:00,Hydrochlorothiazid,Dược chất,USP 38,"Huzhou Konch Pharmaceutical Co., Ltd.",CHINA,N/A,False
VD-31648-19,2024-02-27T00:00:00+07:00,Xylometazoline Hydrochloride,Dược chất,EP 8,"Wuhan Wuyao Pharmaceutical Co., Ltd.",CHINA,N/A,False
VD-31649-19,2024-02-27T00:00:00+07:00,Loratadin,Dược chất,USP 36,Vasudha Pharma Chem Limited,INDIA,N/A,False
VD-31650-19,2024-02-27T00:00:00+07:00,Metoclopramid hydroclorid,Dược chất,BP 2017,Ipca Laboratories Limited,INDIA,N/A,False
VD-31651-19,2024-02-27T00:00:00+07:00,Triamcinolone acetonide,Dược chất,USP 38,"Zhejiang Xianju Pharmaceutical Co., Ltd",CHINA,"No 1 Xianyao Road, Xianju, Zhejiang, China",False
VD3-165-22,2025-01-05T00:00:00+07:00,"""Halal"" Hard Gelatin Capsules (Empty Hard Gelatin Capsule) size 2 STD.purple OP - white OP (29906-44901)",Vỏ nang,In-house,PT. Capsugel Indonesia,Indonesia,"JI. Raya Bogor Km. 42,5, Padurenan RT03/RW07, Kel. Pabuaran, Cibinong Bogor, Jawa Barat, Indonesia 16916",False
VD3-165-22,2025-01-05T00:00:00+07:00,Oseltamivir phosphate,Dược chất,USP 42,Hetero Labs Limited (Unit-I),India.,"Survey No. 10, I.D.A., Gaddapotharam, Jinnaram Mandal, Sangareddy District, Telangana",False
VD3-166-22,2025-02-17T00:00:00+07:00,Polyplasdone XL-10,Tá dược,EP 10.0,ISP Chemicals Llc Affiliate of Ashland,Hoa Kỳ,"455 N. Main St. (HWY 95), Calvert City KY 42029, USA",False
VD3-166-22,2025-02-17T00:00:00+07:00,STARCH 1500 PARTIALLY PREGELATINIZED STARCH 2001,Tá dược,USP 43,Colorcon,Hoa Kỳ,"3702 East 21st Street Indianapolis, IN 46218, United States",False
VD3-166-22,2025-02-17T00:00:00+07:00,Molnupiravir,Dược chất,TCNSX,"Zhejiang Hongyuan Pharmaceutical Co., Ltd",CHINA,NA,False
VD-31664-19,2024-02-27T00:00:00+07:00,Piperaquin phosphat,Dược chất,CP 2015,"Chongqing Rangle Pharmaceutical Co., Ltd",CHINA,N/A,False
VD-31664-19,2024-02-27T00:00:00+07:00,Dihydroartemisinin,Dược chất,CP 2015,"Chongqing Rangle Pharmaceutical Co., Ltd",CHINA,N/A,False
VD-31665-19,2024-02-27T00:00:00+07:00,Amoxicilin trihydrate,Dược chất,BP 2016,"Henan Lvyuan
Pharmaceutical Co.,Ltd.",CHINA,,False
VD-31666-19,2024-02-27T00:00:00+07:00,Amoxicilin trihydrate,Dược chất,BP 2016,Asiatic Drugs & Pharmaceuticals Pvt.Ltd,INDIA,,False
VD-31667-19,2024-02-27T00:00:00+07:00,Cinnarizine,Dược chất,BP 2016,"R L Fine Chem Pvt ltd.,",INDIA,.,False
VD-31667-19,2024-02-27T00:00:00+07:00,Piracetam,Dược chất,EP 8.0,"Jiangxi Yuehua Pharmaceutical Co., Ltd",CHINA,,False
VD-31668-19,2024-02-27T00:00:00+07:00,Carbocisteine,Dược chất,EP 9.0,"Wuhan Grand Hoyo Co., Ltd",CHINA,,False
VD-31669-19,2024-02-27T00:00:00+07:00,Pregabalin,Dược chất,EP 8.7,Maps Laboratories Private Limited,INDIA,,False
VD-31670-19,2024-02-27T00:00:00+07:00,Cefdinir,Dược chất,USP 38,Covalent Laboratories Private Limited,INDIA,,False
VD-31671-19,2024-02-27T00:00:00+07:00,Cefdinir,Dược chất,USP 38,Covalent Laboratories Private Limited,INDIA,,False
VD-31672-19,2024-02-27T00:00:00+07:00,Cephalexin monohydrate,Dược chất,BP 2016,"Zhejiang Anglikang Pharmaceutical Co., Ltd.",CHINA,,False
VD3-167-22,2025-02-17T00:00:00+07:00,Colloidal silicon dioxide,Tá dược,NF 38,Wacker Chemie AG,Germany,"Friedrich-von-Heyden-Platz 1, 01612 Nünchritz",False
VD3-167-22,2025-02-17T00:00:00+07:00,Sodium stearyl fumarate,Tá dược,NF 38,JRS Pharma GmbH & Co. KG,Germany,"Trụ sở chính: Holzmühle 1, D-73494 Rosenberg",False
VD3-167-22,2025-02-17T00:00:00+07:00,Molnupiravir,Dược chất,TCCS,Optimus Drugs Private Limited,INDIA,"Survey No 239 and 240,
Dothigudem (Village), Pochampally (Mandal), Yadadri-Bhuvanagiri, Bhongiri, Telangana, 508 284, India",False
VD3-167-22,2025-02-17T00:00:00+07:00,Povidone K29/32,Tá dược,USP 43,BASF Corporation,USA,"8404 River Road, Geismar, LA 70734",False
VD3-167-22,2025-02-17T00:00:00+07:00,Crospovidone,Tá dược,NF 38,BASF SE,Germany,"Carl-Bosch-Str. 38, 67056 Ludwigshafen",False
VD3-167-22,2025-02-17T00:00:00+07:00,Microcrystalline cellulose 112,Tá dược,NF 38,"Mingtai Chemical Co., Ltd.",China,"1142 Shin Hsing Rd., Bah-Der District, Taoyuan City, Taiwan",False
VD3-167-22,2025-02-17T00:00:00+07:00,Microcrystalline  cellulose 112,Tá dược,USP-NF/IP,Sigachi Industries Limited,India,"Plot No.20-21, Phase 1, IDA,  Pashammailaram, Isnapur-502 307, Patancheru (M), Sangareddy Dist. T.S",False
VD-31673-19,2024-02-27T00:00:00+07:00,Cephalexin monohydrate,Dược chất,EP 8.0.,"Centrient Pharmaceuticals (Zibo) Co., Ltd",CHINA,China,False
VD-31673-19,2024-02-27T00:00:00+07:00,Cephalexin monohydrate,Dược chất,EP 8.0,"DSM Sinochem Pharmaceuticals (Zibo) Co., Ltd",CHINA,,False
VD-31674-19,2024-02-27T00:00:00+07:00,Cefpodoxime proxetil,Dược chất,USP 38,Parabolic Drugs Ltd,INDIA,,False
VD-31675-19,2024-02-27T00:00:00+07:00,Cimetidine,Dược chất,USP 38,"Jiangsu Baosheng Longcheng Pharmaceutical Co.,LTD",CHINA,,False
VD-31676-19,2024-02-27T00:00:00+07:00,Oxymetazoline hydrochloride,Dược chất,USP 38,CTX Lifesciences Pvt Ltd,INDIA,,False
VD-31677-19,2024-02-27T00:00:00+07:00,Clotrimazole,Dược chất,USP 38,Halcyon Labs Pvt. Ltd.,INDIA,,False
VD-31679-19,2024-02-27T00:00:00+07:00,Cefpodoxime proxetil,Dược chất,USP 38,Covalent Laboratories Private Limited,INDIA,,False
VD-31680-19,2024-02-27T00:00:00+07:00,Sodium lauryl sulfate,Tá dược,USP 38,PT. Kao Indonesia Chemical,Indonesia,"Jalan Raya Tambun, KM. 42, Tambun Bekasi West Java 17510, Indonesia",False
VD-31680-19,2024-02-27T00:00:00+07:00,Cefpodoxime proxetil,Dược chất,USP 38,Covalent Laboratories Private Limited,INDIA,,False
VD-31680-19,2024-02-27T00:00:00+07:00,Opadry white (Opadry® QX Quick and Flexible Film Coating System 321A280003 White),Tá dược,NSX,Shanghai Colorcon Coating Technology Ltd,China,"No 588 Chundong Road, Minhang District, Shanghai, 201108, China",False
VD-31680-19,2024-02-27T00:00:00+07:00,Colloidal silicon dioxyd,Tá dược,USP 38,Evonik Industries AG Rellinghauser,Germany,"Strasse 1-11 45128 Essen Deutschland, Germany",False
VD-31681-19,2024-02-27T00:00:00+07:00,Etoricoxib,Dược chất,NSX,Metrochem API Pvt. Ltd,INDIA,,False
VD-31682-19,2024-02-27T00:00:00+07:00,Acetylcysteine,Dược chất,USP 36,"Wuhan University Hoyo Co., Ltd.",CHINA,,False
VD3-168-22,2025-02-17T00:00:00+07:00,Microcrystalline cellulose,Tá dược,EP phiên bản hiện hành (EP 10),JRS Pharma,Germany,Weissenborn,False
VD3-168-22,2025-02-17T00:00:00+07:00,Molnupiravir,Dược chất,TCCS,Optimus Drugs Private Limited,India.,"Survey No. 239 & 240, Dothigudem (V), B. Pochampally (M), Yadadri-Bhuvanagiri District - 508284, Telangana",False
VD3-168-22,2025-02-17T00:00:00+07:00,"""Halal"" Hard Gelatin Capsules (Empty Hard Gelatin Capsule) size 0 white OP - white OP (44902-44902)",Vỏ nang,In-house,PT. Capsugel Indonesia,Indonesia,"JI. Raya Bogor Km. 42,5, Padurenan RT03/RW07, Kel. Pabuaran, Cibinong Bogor, Jawa Barat, Indonesia 16916",False
VD-31683-19,2024-02-27T00:00:00+07:00,Meloxicam,Dược chất,BP 2018,Apex Healthcare Limited,INDIA,,False
VD-31684-19,2024-02-27T00:00:00+07:00,Fluoxetine hydrochloride,Dược chất,BP 2016,Cadila Pharmaceuticals Limited,INDIA,,False
VD-31685-19,2024-02-27T00:00:00+07:00,Levofloxacin hemihydrate,Dược chất,USP 38,Dr.Reddy’s laboratories Ltd.,INDIA,"CTO Unit II, Plot No. 110–111, Sri Venketeswara Co–operative Industrial Estate, Bollaram. Jinnaram Mandal, Medak District, Andhra Pradesh. India.",True
VD-31686-19,2024-02-27T00:00:00+07:00,Sodium benzoate,Dược chất,BP 2016,Sujata Chemicals,INDIA,,False
VD-31688-19,2024-02-27T00:00:00+07:00,Indomethacin,Dược chất,BP 2016,Taicang pharmaceutical factory,CHINA,,False
VD-31689-19,2024-02-27T00:00:00+07:00,Folic acid,Dược chất,USP 38,Xinfa pharmaceutical co. Ltd,CHINA,,False
VD-31689-19,2024-02-27T00:00:00+07:00,Ferrous fumarate,Dược chất,USP 38,Ferro chem industries,INDIA,,False
VD-31690-19,2024-02-27T00:00:00+07:00,Methylprednisolone,Dược chất,USP 38,"Zhejiang Xianju Pharmaceutical Co., Ltd.",CHINA,,False
VD-31691-19,2024-02-27T00:00:00+07:00,Drotaverine hydrochloride,Dược chất,NSX,"Zhejiang Apeloa Kangyu Pharmaceutical Co., Ltd",CHINA,,False
VD-31692-19,2024-02-27T00:00:00+07:00,Phenylephrine hydrochloride,Dược chất,USP 38,Atlas Life Sciences,INDIA,,False
VD-31692-19,2024-02-27T00:00:00+07:00,Chlorpheniramine maleate,Dược chất,BP 2016,Supriya Lifescience Ltd,INDIA,,False
VD-31692-19,2024-02-27T00:00:00+07:00,Paracetamol,Dược chất,BP 2016,"Hebei jiheng (group) Pharmaceutical co., LTD",CHINA,,False
VD3-169-22,2025-04-20T00:00:00+07:00,Lecithin,Tá dược,USP 40,ADM Specialty Ingredients.,Hà Lan,"Kingsfordweg 43-117 Amsterdam,  1043GP, Netherlands",False
VD3-169-22,2025-04-20T00:00:00+07:00,Sorbitol 70% (Sorbitol solution,Tá dược,USP 40,Roquette Freres.,Pháp,"1, Rue De La Haute Loge, 62136 Lestrem France.",False
VD3-169-22,2025-04-20T00:00:00+07:00,Oxyd sắt đen,Tá dược,DĐVN IV,Univar Colour.,Anh,"Victoria House, Radford Way, Billericay, Essex, CM12 0DX, UK.",False
VD3-169-22,2025-04-20T00:00:00+07:00,Ponceau 4R,Tá dược,TC NSX,Proquimac Food & Pharma.,Tây Ban Nha,"C/Berlin, 5 (Pol, Ind, Can Torrella), 08233 Vacarisses Baecelona (Espana).",False
VD3-169-22,2025-04-20T00:00:00+07:00,Oxyd sắt đỏ,Tá dược,DĐVN IV,Univar Colour.,Anh,"Victoria House, Radford Way, Billericay, Essex, CM12 0DX, UK.",False
VD3-169-22,2025-04-20T00:00:00+07:00,Glycerin,Tá dược,DĐVN IV,Procter & Gamble Chemicals.,Mỹ,"11530 Reed Hartman Highway, Cincinnati, OH 45241",False
VD3-169-22,2025-04-20T00:00:00+07:00,Gelatin,Tá dược,DĐVN IV,Lapi Gelatine S.P.A,Ý,"Via Lucchese, 158, 50053 Empoli FI, Italy",False
VD3-169-22,2025-04-20T00:00:00+07:00,Vanilin,Tá dược,DĐVN IV,Solvay,Pháp,Rhodia Operations Rue Prosper Monnet 69192 Saint Fons France.,False
VD3-169-22,2025-04-20T00:00:00+07:00,L-ornithine L-aspartate,Dược chất,NSX,Evonik Rexim S.A.S,France,"33 Rue de Verdun, HAM 80400, France",False
VD3-169-22,2025-04-20T00:00:00+07:00,Propyl paraben,Tá dược,DĐVN IV,"Wuhu Huahai Biology Engineering Co.,Ltd.",Trung Quốc,"7/F No.82 LAODONG Road Wuhu, China.",False
VD3-169-22,2025-04-20T00:00:00+07:00,Methyl paraben,Tá dược,DĐVN IV,"Ueno Fine Chemicals Industry, Ldt..",Nhật Bản,"2-4-8, Koraibashi, Chuo-Ku Osaka 541-8543 Japan.",False
VD3-169-22,2025-04-20T00:00:00+07:00,Sáp ong trắng,Tá dược,DĐVN IV,Ter Hell & Co. GMBH.,Đức,Börsenbrücke 2. Ter Hell Haus 20457 Hamburg,False
VD-31693-19,2024-02-27T00:00:00+07:00,Flunarizine  Dihydrochloride,Dược chất,BP 2018,"Weihai Disu Pharmaceutical Co., LTD",CHINA,,False
VD-31694-19,2024-02-27T00:00:00+07:00,Amoxicilin trihydrate,Dược chất,BP 2018,"Henan Lvyuan Pharmaceutical Co., Ltd.",CHINA,,False
VD-31695-19,2024-02-27T00:00:00+07:00,Amoxicilin trihydrate,Dược chất,BP 2016,DSM Anti- Infectives India Limited,INDIA,,False
VD-31695-19,2024-02-27T00:00:00+07:00,Sulbactam pivoxil,Dược chất,NSX,Euro asian chemicals private LTD.,INDIA,,False
VD-31696-19,2024-02-27T00:00:00+07:00,Tetracycline hydrochloride,Dược chất,BP 2016,"Ningxia Qiyuan Pharmaceutical Co., Ltd.",CHINA,,False
VD-31697-19,2024-02-27T00:00:00+07:00,Sulfamethoxazole,Dược chất,BP 2016,Virchow Laboratories Limited,INDIA,,False
VD-31697-19,2024-02-27T00:00:00+07:00,Trimethoprim,Dược chất,BP 2016,Andhra Organics Limited,INDIA,,False
VD-31698-19,2024-02-27T00:00:00+07:00,Pyridoxine hydrochloride,Dược chất,BP 2016,"Jiangxi Tianxin Pharmaceutical Co., Ltd.",CHINA,,False
VD-31699-19,2024-02-27T00:00:00+07:00,Vitamin E (dl-α-tocopheryl acetat),Dược chất,USP 40,"Zhejiang Medicine Co., Ltd, Xinchang Pharmaceutical Factory",CHINA,,False
VD-31700-19,2024-02-27T00:00:00+07:00,Cefdinir,Dược chất,USP 38,Covalent Laboratories Private Limited,INDIA,,False
VD3-170-22,2025-04-20T00:00:00+07:00,Prasugrel hydroclorid,Dược chất,Tiêu chuẩn nhà sản xuất,AUROBINDO PHARMA LTD,INDIA,"Unit-XI, Survey Nos. 61-66, IDA, Pydibhimavaram-532409, Ranasthalam Mandal, Srikakulam Dist, A.P., India",False
VD-31704-19,2024-02-27T00:00:00+07:00,Ampicillin sodium (sterile),Dược chất,EP 9.0 + In house,"Zhuhai United Laboratories Co., Ltd.",CHINA,"No. 2428, Anji Road, Sanzao Town, Jinwan District, Zhuhai, Guangdong 519040, P.R.China.",False
VD-31704-19,2024-02-27T00:00:00+07:00,Ampicillin sodium (sterile),Dược chất,EP 9.0 + In house,Sterile India Pvt. Ltd.,INDIA,"Địa chỉ trên GMP: Plot No.100, Sector-56, Phase-IV, HSIIDC, Kundli District Sonepat (Haryana), India.
Địa chỉ trên phiếu kiểm nghiệm: Plot No - 100, Sec-56, Phase-IV, HSIIDC, Kundli, Sonepat - 131028 Haryana (India).",False
VD-31705-19,2024-02-27T00:00:00+07:00,Cefamandol nafate,Dược chất,EP 9.0 đến EP 9.8,"China Union Chempharma (Suzhou) Co., Ltd",CHINA,"Địa chỉ trên GMP: No.9, East Jiaotong Road, Lili Town, Wujiang District, Suzhou, P.R.C Địa chỉ bổ sung:  • Địa chỉ trên COA: No.6, Jinzi Road, Lili Town, Wujiang District, Suzhou City, Jiangsu Province, P.R.C.  • Địa chỉ trên GMP: No. 6, Jinzi Road, Lili Town, Wujiang District Suzhou, P.R.C",False
VD-31706-19,2024-02-27T00:00:00+07:00,Cefamandol nafate,Dược chất,EP 9.0 đến EP 9.8,"China Union Chempharma (Suzhou) Co., Ltd",CHINA,"Địa chỉ trên GMP: No.9, East Jiaotong Road, Lili Town, Wujiang District, Suzhou, P.R.C Địa chỉ bổ sung:  • Địa chỉ trên COA: No.6, Jinzi Road, Lili Town, Wujiang District, Suzhou City, Jiangsu Province, P.R.C.  • Địa chỉ trên GMP: No. 6, Jinzi Road, Lili Town, Wujiang District Suzhou, P.R.C",False
VD-31707-19,2024-02-27T00:00:00+07:00,Cefamandole nafate,Dược chất,EP hiện hành,"Shandong Luoxin Pharmaceutical Group Hengxin Pharmaceutical Co., Ltd.",CHINA,"- Địa chỉ: West Side of Yanbin Road, Economic Development Zone, China",False
VD-31707-19,2024-02-27T00:00:00+07:00,Cefamandol nafate,Dược chất,EP 9.0 đến EP 9.8,"China Union Chempharma (Suzhou) Co., Ltd",CHINA,"Địa chỉ trên GMP: No.9, East Jiaotong Road, Lili Town, Wujiang District, Suzhou, P.R.C Địa chỉ bổ sung:  • Địa chỉ trên COA: No.6, Jinzi Road, Lili Town, Wujiang District, Suzhou City, Jiangsu Province, P.R.C.  • Địa chỉ trên GMP: No. 6, Jinzi Road, Lili Town, Wujiang District Suzhou, P.R.C",False
VD-31708-19,2024-02-27T00:00:00+07:00,Sterile Cefoperazone sodium,Dược chất,EP 9.0 - E.P 9.8,"Qilu Antibiotics Pharmaceutical Co., Ltd.",CHINA,"Địa chỉ: No. 849 DongJia Town, Licheng District, Jinan City, Shandong Province, China",False
VD-31708-19,2024-02-27T00:00:00+07:00,Cefoperazone sodium (sterile),Dược chất,USP 41,Nectar Lifesciences Limited,INDIA,"Địa chỉ CoA: Vill. Saidpura. Tehsil - Derabassi, Distt. Mohali (Pb), India.
Địa chỉ GMP: Village Saidpura, Tehsil Derabassi, District Sahibzada Ajit Singh Nagar, Punjab, India.",False
VD-31709-19,2024-02-27T00:00:00+07:00,Cefoperazone sodium (sterile),Dược chất,USP 40,Nectar Lifesciences Limited,INDIA,"Địa chỉ CoA: Vill. Saidpura. Tehsil - Derabassi, Distt. Mohali (Pb), India.
Địa chỉ GMP: Village Saidpura, Tehsil Derabassi, District Sahibzada Ajit Singh Nagar, Punjab, India.",False
VD-31710-19,2024-02-27T00:00:00+07:00,Cefoperazone sodium (sterile),Dược chất,USP 40,Nectar Lifesciences Limited,INDIA,"Địa chỉ CoA: Vill. Saidpura. Tehsil - Derabassi, Distt. Mohali (Pb), India.
Địa chỉ GMP: Village Saidpura, Tehsil Derabassi, District Sahibzada Ajit Singh Nagar, Punjab, India.",False
VD-31711-19,2024-02-27T00:00:00+07:00,Amoxicillin sodium and Clavulanate potassium,Dược chất,In house,"Zhuhai United Laboratories Co., Ltd",CHINA,"No. 2428, Anji Road, Sanzao Town, Jinwan District, Zhuhai, Guangdong 519040, P.R. China.",False
VD-31712-19,2024-02-27T00:00:00+07:00,Cephalexin monohydrate compacted,Dược chất,BP 2016,DSM Sinochem Pharmaceuticals Spain S.A.,Spain,"- Địa chỉ trên GMP: c/ Ripollès, 2 Pol. Ind. Urvasa 08130 Santa Perpètua De Mogoda (Barcelona), Spain.
- Địa chỉ trên phiếu kiểm nghiệm: Calle Ripolles 2, Poligono Industrial Urvasa, Sta Perpetua de Mogoda, 08130 Barcelona, Spain.",False
VD-31712-19,2024-02-27T00:00:00+07:00,Cephalexin monohydrate,Dược chất,BP 2016,"Centrient pharmaceuticals Spain, S.A.",Spain,"- Địa chỉ trên GMP: c/ Ripollès, 2 08130 Santa Perpètua De Mogoda (Barcelona), Spain.
- Địa chỉ trên phiếu kiểm nghiệm:
Calle Ripolles 2, Poligono Industrial Urvasa, Sta Perpetua de Mogoda, 08130 Barcelona, Spain.",False
VD-31712-19,2024-02-27T00:00:00+07:00,Cephalexin monohydrate compacted,Dược chất,BP 2016,"DSM Sinochem Pharmaceuticals (Zibo) Co., Ltd",CHINA,"Địa chỉ trên Phiếu kiểm nghiệm:
No. 1033, Mu Long Shan road, High & New Technology Industrial Development Zone, Zibo Shandong, PRC",False
VD-31712-19,2024-02-27T00:00:00+07:00,Cephalexin monohydrate compacted,Dược chất,BP 2016,"Centrient Pharmaceuticals (Zibo) Co., Ltd.",CHINA,"No. 1033, Mu Long Shan road, High-Tech Zone, Zibo,  Shandong Province, China.",False
VD-31712-19,2024-02-27T00:00:00+07:00,Cephalexin monohydrate compacted,Dược chất,BP 2016,ACS DOBFAR S.P.A,ITALY,"- Địa chỉ trên GMP: Via Marzabotto, 1,7/9  20871 Vimercate (MB), Italy
- Địa chỉ trên phiếu kiểm nghiệm:
• Viale Addetta 4/12 - 20067 Tribiano (MI), Italy.
• Viale Colleoni, 25 - Palazzo Pegaso Ingresso 3 20864 Agrate Brianza (MB) , Italy",False
VD3-171-22,2025-04-20T00:00:00+07:00,Empagliflozin,Dược chất,TC NSX,Century Pharmaceuticals Ltd.,INDIA,"103 – 106, G.I.D.C. Estate, Halol – 389350. Dist. Panchmahals Gujarat. India.",False
VD-31713-19,2024-02-27T00:00:00+07:00,Cephalexin monohydrate compacted,Dược chất,BP 2016,DSM Sinochem Pharmaceuticals Spain S.A.,Spain,"- Địa chỉ trên GMP: c/ Ripollès, 2 Pol. Ind. Urvasa 08130 Santa Perpètua De Mogoda (Barcelona), Spain.
- Địa chỉ trên phiếu kiểm nghiệm: Calle Ripolles 2, Poligono Industrial Urvasa, Sta Perpetua de Mogoda, 08130 Barcelona, Spain.",False
VD-31713-19,2024-02-27T00:00:00+07:00,Cephalexin monohydrate compacted,Dược chất,BP 2016,"DSM Sinochem Pharmaceuticals (Zibo) Co., Ltd",CHINA,"No. 1033, Mu Long Shan road, High & New Technology Industrial Development Zone, Zibo Shandong, PRC",False
VD-31713-19,2024-02-27T00:00:00+07:00,Cephalexin monohydrate compacted,Dược chất,BP 2016,ACS DOBFAR S.P.A,ITALY,"- Địa chỉ trên GMP: Via Marzabotto, 1,7/9  20871 Vimercate (MB), Italy
- Địa chỉ trên phiếu kiểm nghiệm:
• Viale Addetta 4/12 - 20067 Tribiano (MI), Italy.
• Viale Colleoni, 25 - Palazzo Pegaso Ingresso 3 20864 Agrate Brianza (MB) , Italy",False
VD-31714-19,2024-02-27T00:00:00+07:00,Amoxicillin trihydrate powder,Dược chất,EP 9.0 đến EP 10.0,Centrient Pharmaceuticals India Private Limited,INDIA,"Bhai Mohan singh Nagar, Toansa, Distt, Nawanshahr, Punjab 144 533, India",False
VD-31714-19,2024-02-27T00:00:00+07:00,Potassium clavulanate with Syloid (1:1),Dược chất,EP 9.0 đến EP 10.0,Lek Pharmaceuticals d.d,Slovenia,"Perzonali 47, SI-2391 Prevalje, Slovenia",False
VD-31715-19,2024-02-27T00:00:00+07:00,Amoxicillin trihydrate compacted,Dược chất,EP 9.0,DSM Sinochem Pharmaceuticals India Private Limited,INDIA,"Bhai Mohan Singh Nagar, Toansa, Distt. Nawanshahr, Punjab 144 533, India",False
VD-31715-19,2024-02-27T00:00:00+07:00,Potassium clavulanate with avicel (1:1),Dược chất,EP 8.0 hoặc EP 9.0,Lek Pharmaceuticals d.d.,Slovenia,"Perzonali 47, SI-2391 Prevalje,  Slovenia",False
VD-31715-19,2024-02-27T00:00:00+07:00,Potassium clavulanate with Avicel (1:1),Dược chất,EP hiện hành,Suanfarma Italia S.p.A.,ITALY,"Corso Verona, 165, 38068 Rovereto (Trento), Italy.",False
VD-31715-19,2024-02-27T00:00:00+07:00,Potassium clavulanate with avicel (1:1),Dược chất,EP hiện hành,Lek Pharmaceuticals d.d.,Slovenia,"- Địa chỉ trên COA: Trimlini 2D, SI-9220 Lendava, Slovenia. Địa chỉ trên GMP: Trimlini 2D, Lendava, 9220, Slovenia.",False
VD-31716-19,2024-02-27T00:00:00+07:00,Potassium clavulanate with avicel (1:1),Dược chất,EP 8.0,LEK Pharmaceuticals d.d.,Slovenia,"Perzonali 47, SI-2391 Prevalje, Slovenia",False
VD-31716-19,2024-02-27T00:00:00+07:00,Amoxicillin trihydrate compacted,Dược chất,EP 9.0,DSM Sinochem Pharmaceuticals India Private Limited,INDIA,"Bhai Mohan Singh Nagar, Toansa, Distt. Nawanshahr, Punjab 144533, India.",False
VD-31717-19,2024-02-27T00:00:00+07:00,Sepifilm LP 770,Tá dược,In house,Seppic/ Seppic S.A,Pháp,"127, CHEMIN DE LA POUDRERIE 81100 CASTRES Cedex FRANCE",False
VD-31717-19,2024-02-27T00:00:00+07:00,"Potassium Clavulanate and Cellulose, Microcrystalline 1:1",Dược chất,EP hiện hành,Suanfarma Italia S.p.A.,ITALY,"Corso Verona, 165, 38068 Rovereto (Trento), Italy.",False
