SỐ ĐĂNG KÝ LƯU HÀNH,NGÀY HẾT HIỆU LỰC SỐ ĐĂNG KÝ,"TÊN TÁ DƯỢC, VỎ NANGTÊN CƠ SỞ SẢN XUẤT",NƯỚC SẢN XUẤT,TIÊU CHUẨN CHẤT LƯỢNG
VD-30842-18,2023-07-05T00:00:00+07:00,MICROTALC PHARMA 30,ELEMENTIS MINERALS B.V,The Netherlands,DĐVN IV
VD-30842-18,2023-07-05T00:00:00+07:00,Magnesi stearat,"Cellmark, China",China,DĐVN IV
VD-30842-18,2023-07-05T00:00:00+07:00,PRIMOJEL,DFE Pharma B.V.,The Netherlands,BP 2017
VD-30842-18,2023-07-05T00:00:00+07:00,PREJEL PA 5PH,Avebe Ter Apelkanaal,the Nertherlands,BP 2017
VD-30842-18,2023-07-05T00:00:00+07:00,Cellulose vi tinh thể 101,"CellMark, India",India,BP 2017
VD-29706-18,2023-03-27T00:00:00+07:00,Polyoxyl 40 Hydrogenated Castor Oil(Acrysol K140),Corel Pharma Chem,Ấn Độ,BP 2014
VD-28827-18,2023-02-22T00:00:00+07:00,17045 Red Iron Oxide,Univar,Anh,FAO JECFA
VD-28827-18,2023-02-22T00:00:00+07:00,Polysorbate 80,NoF Corporation,Nhật,BP 2013
VD-28827-18,2023-02-22T00:00:00+07:00,Lipoxol 6000 Med Powder (Polyethylene glycol 6000),Sasol Germany GmbH,Đức,NF 31
VD-28827-18,2023-02-22T00:00:00+07:00,Luzenac 00 (Talc),Imerys Talc Luzenac,Pháp,EP 8.0
VD-28827-18,2023-02-22T00:00:00+07:00,Titanium dioxide E-171 PH,Proquimac,Tây Ban Nha,NF 31
VD-28827-18,2023-02-22T00:00:00+07:00,Sinopol PEG4000 FQN (Polyethylene glycol 4000),Sino-Japan chemical,Đài Loan,NF 31
VD-28827-18,2023-02-22T00:00:00+07:00,Kollidon va K64 (Povidone K64),BASF South East Asia,Đức,NF 31
VD-28827-18,2023-02-22T00:00:00+07:00,Hydroxypropyl methylcellulose 6 (Hydroxypropyl methylcellulose 606),CellMark Chemicals,Singapore,BP 2013
VD-28827-18,2023-02-22T00:00:00+07:00,Acrycoat L100 (Methacrylic acid copolymer),Corel pharma chem,Ấn Độ,NF 31
VD-28827-18,2023-02-22T00:00:00+07:00,Novalube (Sodium Stearyl Fumarate),Nitika Chemicals,Ấn Độ,BP 2013
VD-28827-18,2023-02-22T00:00:00+07:00,Aerosil 200 (Colloidal silicon dioxid),Evonik  Industries,Đức,BP 2013
VD-28827-18,2023-02-22T00:00:00+07:00,Tablettose 80 (Lactose monohydrate),Molkerel Meggle Wasserburg GmbH &Co.KG,Đức,BP 2013
VD-28827-18,2023-02-22T00:00:00+07:00,"Magnesium oxide, light",Dr.Paul Lohmann,Đức,USP 36
VD-28827-18,2023-02-22T00:00:00+07:00,Low-substituted hydroxypropyl cellulose  (LH-11),Shin-Etsu,Nhật Bản,NF 31
VD-28827-18,2023-02-22T00:00:00+07:00,Flocel 112 (Microcrystalline cellulose 112),GMW - Gujarat Microwax Private,Ấn Độ,NF 31
VD-32623-19,2024-05-10T00:00:00+07:00,Sepifilm Gloss,Seppic,Pháp,NSX
VD-32623-19,2024-05-10T00:00:00+07:00,SYLOID AL-1 FP (Silicon dioxide),Grace GmbH,Đức,USP
VD-32623-19,2024-05-10T00:00:00+07:00,36002 Edicol Ponceau 4R (Màu ponceau 4R),Univar Solution BV,Anh,Commission Regulation No 231/ 2012
VD-32623-19,2024-05-10T00:00:00+07:00,Titanium dioxide E-171 PH (Titanium dioxide),Proquimac PFC S.A.,Tây Ban Nha,USP
VD-32623-19,2024-05-10T00:00:00+07:00,Luzenac 00 (Talc),Imerys Talc Luzenac France,Pháp,USP
VD-32623-19,2024-05-10T00:00:00+07:00,Polyglykol 4000 PF (Polyethylen glycol 4000),Clariant Produkte (Deutschland) GmbH,Đức,USP
VD-32623-19,2024-05-10T00:00:00+07:00,Polyglykol 6000 PF (Polyethylen glycol 6000),Clariant Produkte (Deutschland) GmbH,Đức,USP
VD-32623-19,2024-05-10T00:00:00+07:00,Hydroxypropyl methyl cellulose (Hydroxypropyl methylcellulose 2910),"Shanghai Honest Chem Co., Ltd",Trung Quốc,USP
VD-32623-19,2024-05-10T00:00:00+07:00,EASPRAY film coating powder-GMI (Easpray film),"Tianjin ILE International Pharma Co., Ltd.",Trung Quốc,NSX
VD-32623-19,2024-05-10T00:00:00+07:00,Magnesium Stearate,Accent Microcell Pvt. Ltd.,Ấn Độ,BP
VD-32623-19,2024-05-10T00:00:00+07:00,PVP K30 (Povidon K30),CNSG Anhui Hong Sifang Co. Ltd.,Trung Quốc,USP
VD-32623-19,2024-05-10T00:00:00+07:00,Sodium Starch Glycolate (Type A),"Anhui Sunhere Pharmaceutical Excipients Co., Ltd.",Trung Quốc,USP
VD-32623-19,2024-05-10T00:00:00+07:00,Maize Starch B (Corn starch),Roquette Freres,Pháp,USP
VD-32623-19,2024-05-10T00:00:00+07:00,Comprecel (Microcrystallin cellulose M101D+),"Mingtai Chemical Co., Ltd",Đài Loan,USP
VD-34107-20,2025-06-15T00:00:00+07:00,Black iron oxide,Univar,England,FAO JECFA
VD-34107-20,2025-06-15T00:00:00+07:00,Red iron oxide,Univar,England,FAO JECFA
VD-34107-20,2025-06-15T00:00:00+07:00,Lipoxol 6000 Med Powder (Polyethylene glycol 6000),Sasol Germany GmbH,Germany,NF 36
VD-34107-20,2025-06-15T00:00:00+07:00,Titanium dioxide E-171 PH,Proquimac,Barcelona,USP 41
VD-34107-20,2025-06-15T00:00:00+07:00,Luzenac 00 (Talc),Imerys Talc Luzenac France,France,EP 9.0
VD-34107-20,2025-06-15T00:00:00+07:00,Hydroxypropyl methyl cellulose 6 (Hydroxypropyl methyl cellulose 2910),CellMark Chemicals Singapore,Singapore,USP 41
VD-34107-20,2025-06-15T00:00:00+07:00,Magnesium stearate,Faci Asia Pacific,Singapore,BP 2019
VD-34107-20,2025-06-15T00:00:00+07:00,Colloidal silicon dioxide,Madhu Silica Pvt. Ltd.,India,BP 2019
VD-34107-20,2025-06-15T00:00:00+07:00,Polyplasdone XL-10 (Crospovidone),ISP Sales,USA,NF 36
VD-34107-20,2025-06-15T00:00:00+07:00,Era-gel (Rice starch gelatinized),"Erawan Pharmaceutical Research and Laboratory Co., Ltd",Thailand,NF 36
VD-34107-20,2025-06-15T00:00:00+07:00,Pearlitol 160 C (Mannitol),Roquette,Brazil,USP 41
VD-34107-20,2025-06-15T00:00:00+07:00,Kollidon 30 (Povidone K30),BASF South East Asia,Germany,USP 41
VD-35300-21,2026-09-01T00:00:00+07:00,11000 Erythrosine Lake,Univar Colour,England,JECFA
VD-35300-21,2026-09-01T00:00:00+07:00,Flocel 102,JRS Pharma & Gujarat Microwax Private Limited,India,USP 40
VD-35300-21,2026-09-01T00:00:00+07:00,Flowlac®100,Meggle GmbH & Co. KG,Germany,NSX
VD-35300-21,2026-09-01T00:00:00+07:00,Maize starch B,Roquette Freres,France,USP 40
VD-22438-15,2022-12-31T00:00:00+07:00,Sunset yellow 85% Conacert,Proquimac Food & Pharma,Tây Ban Nha,FAO JECFA
VD-22438-15,2022-12-31T00:00:00+07:00,Brown Coninor M2356,Univar Colour,Anh,FAO JECFA
VD-22438-15,2022-12-31T00:00:00+07:00,Luzenac 00 (Talc),Imerys Talc Luzenac,Pháp,EP 9.0 (2017)
VD-22438-15,2022-12-31T00:00:00+07:00,SP Tween 80 EXP MBAL-LQ-(SG) (Polysorbate 80),Croda Singapore Pte Ltd,Singapore,EP 9.0 (2017)
VD-22438-15,2022-12-31T00:00:00+07:00,Lipoxol 6000 Med Powder (Polyethylene glycol 6000),Sasol Germany GmbH,Đức,USP 41 (2018)
VD-22438-15,2022-12-31T00:00:00+07:00,Titanium dioxide E-171 PH,Proquimac - Barcelona,Tây Ban Nha,USP 41 (2018)
VD-22438-15,2022-12-31T00:00:00+07:00,Hydroxypropyl methylcellulose 6 (Hydroxypropyl methylcellulose 606),CellMark Chemicals Singapore Pte Ltd,Singapore,USP 41 (2018)
VD-22438-15,2022-12-31T00:00:00+07:00,Magnesium stearate,Faci Asia Pacific,Singapore,BP 2019
VD-22438-15,2022-12-31T00:00:00+07:00,Colloidal silicon dioxide,Madhu Silica Pvt. Ltd.,Ấn Độ,BP 2019
VD-22438-15,2022-12-31T00:00:00+07:00,Low-substituted hydroxypropyl cellulose (LH-11),Shin-Etsu chemical Co. Ltd,Nhật,NF 36 (2018)
VD-22438-15,2022-12-31T00:00:00+07:00,Polyplasdone XL-10 (Crospovidone),Ashland,Mỹ,EP 9.0 (2017)
VD-22438-15,2022-12-31T00:00:00+07:00,Tablettose 80,MEGGLE GmbH & Co. KG,Đức,EP 9.0 (2017)
VD-22438-15,2022-12-31T00:00:00+07:00,Maize starch B,Roquette,Pháp,EP 9.0 (2017)
VD-35541-22,2027-01-05T00:00:00+07:00,Sodium saccharin,"TITANJIN CHANGJIE CHEMICAL CO.,LTD.",China,BP 2018
VD-35541-22,2027-01-05T00:00:00+07:00,Sodium Benzoate,"EASTMAN CHEMICAL LTD., SINGAPORE BR.",Singapore,EP 9.0
VD-35541-22,2027-01-05T00:00:00+07:00,Sodium citrate,"COFCO BIOCHEMICAL (ANHUI) CO., LTD.",China,EP 9.0
VD-35541-22,2027-01-05T00:00:00+07:00,Citric acid monohydrate,"COFCO BIOCHEMICAL (ANHUI) CO., LTD.",China,BP 2018
VD-35541-22,2027-01-05T00:00:00+07:00,Tabulose SC,ITACEL FARMOQUÍMICA LTDA.,Brazil,USP 41
VD-35541-22,2027-01-05T00:00:00+07:00,Polysorbate 80,NOR CORPORATION,Japan,USP 41
VD-35341-21,2026-09-01T00:00:00+07:00,Solutab,Itacel Farmoquimica Ltda.,Brazil,USP 40
VD-35341-21,2026-09-01T00:00:00+07:00,Lycatab PGS,Roquette Freres,France,USP 40
VD-35341-21,2026-09-01T00:00:00+07:00,Microcel,Itacel Farmoquimica Ltda.,Brazil,USP 40
VD-35425-21,2026-11-01T00:00:00+07:00,17009 Red Iron Oxide,Univar Colour,England,EU 2012
VD-35425-21,2026-11-01T00:00:00+07:00,Opadry® II complete film coating system 85F18422 white,Shanghai Colorcon Coating Technology Limited,China,NSX
VD-35425-21,2026-11-01T00:00:00+07:00,HDK® N20 Pharma,Wacker Chemicals (South Asia) Pte. Ltd,Singapore,USP 41
VD-35425-21,2026-11-01T00:00:00+07:00,Tablube®,Nitika Pharmaceutical Specialities Pvt. Ltd,India,USP 41
VD-35425-21,2026-11-01T00:00:00+07:00,Kollidon® CL,BASF SE,Germany,USP 41
VD-35425-21,2026-11-01T00:00:00+07:00,Tensopol USP97 S25K/P400K-CENIN,KLK Tensachem S.A,Belgium,USP 41
VD-35425-21,2026-11-01T00:00:00+07:00,Kollidon® 30,BASF Coporation,USA,USP 41
VD-35425-21,2026-11-01T00:00:00+07:00,Flocel 101,JRS Pharma & Gujarat Microwax Private Limited,India,USP 41
VD-35425-21,2026-11-01T00:00:00+07:00,Kleptose,Roquette Frères,France,USP 41
VD-19428-13,2022-12-31T00:00:00+07:00,Merkur 500,Hywax GmbH,Germany,EP phiên bản hiện hành (EP 10.0)
VD-19229-13,2022-02-05T00:00:00+07:00,Tatrazine dye,Sensient Colors LLC,Hoa Kỳ,TCCS
VD-19229-13,2022-02-05T00:00:00+07:00,Magnesi Stearate,Oleon (Asia-Pacific) SDN  BHD,Malaysia,USP phiên bản hiện hành
VD-19229-13,2022-02-05T00:00:00+07:00,Natri Starch Glycolate,"Yung zip chemical ind. Co.,  Ltd.",Đài Loan,USP phiên bản hiện hành
VD-19229-13,2022-02-05T00:00:00+07:00,Povidone K-90,ISP Chemicals LLC Appiliate  of Ashland.,Hoa Kỳ,USP phiên bản hiện hành
VD-19229-13,2022-02-05T00:00:00+07:00,Pregelatinized starch,"Erawan Pharmaceutical  Research and Laboratory Co.,  Ltd.",Thái Lan,USP phiên bản hiện hành
VD-33908-19,2024-10-23T00:00:00+07:00,Magnesi stearat,Cellmark,China,BP 2017
VD-33908-19,2024-10-23T00:00:00+07:00,Màu xanh patent,Roha Dyechem Vietnam Ltd,Tp. Hồ Chí Minh,Nhà sản xuất
VD-33908-19,2024-10-23T00:00:00+07:00,Polyplasandoxe XL-10,ISP TECHNOLOGIES INC.,USA,BP 2017
VD-33908-19,2024-10-23T00:00:00+07:00,HPC,"Nisso Shoji Co., Ltd",Japan,USP 40
VD-33908-19,2024-10-23T00:00:00+07:00,Cellulose vi tinh thể,Cellmark,India,BP 2017
VD-33908-19,2024-10-23T00:00:00+07:00,Tinh bột tiền gelatin hóa,Colorcon Asia Pacific Pte Ltd,USA,USP 40
VD-35629-22,,Hydroxypropyl Cellulose (Grade HPC-M),Nippon Soda Co. Ltd.,Japan,JP 17
VD-23482-15,2027-05-25T00:00:00+07:00,Lactose monohydrate (Pharmatose 200M / Lactose HMS),"DFE Pharma GmbH & Co. KG (Production site: Friesland Campina DMV B.V., Vegel, The Netherlands)",The Netherlands,JP 17
VD-28081-17,2023-01-01T00:00:00+07:00,"Dibasic Calcium Phosphate Dihydrate (Tên thương mại  EMCOMPRESS® PREMIUM, EMCOMPRESS PREMIUM)",Sudeep Pharma Pvt. Ltd.,India,"USP-NF, EP, JP"
VD-28536-17,2022-09-19T00:00:00+07:00,Bột hương cam,Essepi,Italy,Nhà sản xuất
VD-28536-17,2022-09-19T00:00:00+07:00,PEG 6000,Nof Corporation,Japan,BP 2020
VD-28536-17,2022-09-19T00:00:00+07:00,Natri saccharin,Productos Aditivos,Spain,BP 2020
VD-28536-17,2022-09-19T00:00:00+07:00,Natri carbonat khan,Solvay-carbonate France S.A.S,France,BP 2020
VD-28536-17,2022-09-19T00:00:00+07:00,Natri hydrocarbonat khan,Solvay Chemicals GmbH,Germany,DĐVN V
VD-28536-17,2022-09-19T00:00:00+07:00,Acid citric khan,"Cofco Biochemical  (Anhui) Co., Ltd",China,BP 2020
VD-28536-17,2022-09-19T00:00:00+07:00,Saccharose,Công ty cổ phần đường  Biên Hòa,Việt Nam,DĐVN V
VD-28536-17,2022-09-19T00:00:00+07:00,SUPERTAB 21AN,DFE PHARMA B.V,The Netherlands,BP 2020
VD-21216-14,2022-12-31T00:00:00+07:00,Colloidal silicon dioxide,Oci Company Ltd,Korea,BP 2019
VD-21216-14,2022-12-31T00:00:00+07:00,Magnesi stearat,Faci Asia Paciffic Pte Ltd,Singapore,DĐVN V
VD-21216-14,2022-12-31T00:00:00+07:00,Sodium starch glycolat,"Yung Zip Chemical IND Co., LTD",Taiwan,BP 2019
VD-21216-14,2022-12-31T00:00:00+07:00,Microcrystalin cellulose,"Mingtai Chemical., Ltd",Taiwan,BP 2019
VD-21216-14,2022-12-31T00:00:00+07:00,Titan dioxyd,Precheza a.s,Cộng hòa Séc,DĐVN V
VD-21216-14,2022-12-31T00:00:00+07:00,Talc,"Haicheng Xinda Mining Industry Co., Ltd",China,DĐVN V
VD-21216-14,2022-12-31T00:00:00+07:00,Insta moistshield,IDEAL CURES PVT.LTD,India,IH
VD-33915-19,2024-10-23T00:00:00+07:00,Vỏ nang số 3,Công ty cổ phần dược phẩm Cửu Long,Việt Nam,Nhà sản xuất
VD-33915-19,2024-10-23T00:00:00+07:00,Magnesi stearat,Cellmark,China,BP 2017
VD-33915-19,2024-10-23T00:00:00+07:00,Talc,Mondo Minerals B.V,The Netherlands,BP 2017
VD-33915-19,2024-10-23T00:00:00+07:00,Tinh bột ngô tiền gelatin hóa,Colorcon Asia Pacific Pte Ltd,Singapore,BP 2017
VD-33915-19,2024-10-23T00:00:00+07:00,Capsulac 60,MEGGLE GmbH & Co. KG,Germany,EP 8
VD-25970-16,2022-11-15T00:00:00+07:00,Butyl hydroxytoluen,PanReac,España,BP 2013
VD-25970-16,2022-11-15T00:00:00+07:00,Magnesi stearat,Cellmar,China,DĐVN IV
VD-25970-16,2022-11-15T00:00:00+07:00,Silic dioxyd keo khan,OCI Company Ltd,Korea,BP 2013
VD-25970-16,2022-11-15T00:00:00+07:00,Natri croscarmellose,FMC BioPolymer,Ireland,BP 2013
VD-25970-16,2022-11-15T00:00:00+07:00,Cellactose 80,Meggle GmbH & Co. KG,Germany,Nhà sản xuất
VD-31502-19,,Dinatri hydrophosphat (Disodium phosphate anhydrous),Chemische Fabrik Budenhiem KG,Đức,BP2016
VD-28081-17,2023-01-01T00:00:00+07:00,Microcrystalline Cellulose (Tên thương mại Accel,Accent Microcell Pvt Ltd,India,"USP-NF, EP, BP, JP"
VD-23418-15,2026-03-22T00:00:00+07:00,Pregelatinized Starch (Tên TM: 341001- Kleptose® - Betadex),Roquette Freres,France,USP hiện hành
VD-23418-15,2026-03-22T00:00:00+07:00,Opadry II 85G28725 White (Tên TM: Opadry®II Complete Film coating system 85G28725 white),Shanghai Colorcon Coating Technology Limited,China,TCNSX
VD-23418-15,2026-03-22T00:00:00+07:00,Microcrystalline Cellulose (Tên TM: Microcrystalline Cellulose Type M112),Mingtai chemical Co. Ltd.,Taiwan,USP hiện hành
VD-23418-15,2026-03-22T00:00:00+07:00,Magnesium Stearate (Tên TM: Palmstar Mgst 325-BP/USP/EP Magnesium Stearate),Peter Greven Asia SDN BHD,Malaysia,USP hiện hành
VD-23418-15,2026-03-22T00:00:00+07:00,Crospovidone Micronized (Tên TM: Polyplasdone (TM) INF-10 Crospovidone Type B,Ashland Specialty Ingredients ISP Chemical LLC,USA,USP hiện hành
VD-23418-15,2026-03-22T00:00:00+07:00,Croscarmellose Sodium (Tên TM: Vivasol GF),JRS Pharma & Gujarat Microwax Private Limited,India,USP hiện hành
VD-23418-15,2026-03-22T00:00:00+07:00,Croscarmellose Sodium (Tên TM: Primellose®),DFE Pharma GMBH & Co. KG (Production site: DFE Pharma B.V.),The Netherlands,USP hiện hành
VD-23418-15,2026-03-22T00:00:00+07:00,Colloidal Silicon Dioxide  (Tên TM: CAB-O-SIL M5P),Cabot GmbH,Germany,USP hiện hành
VD-30179-18,2023-03-27T00:00:00+07:00,Hydroxypropyl Methylcellulose K100M (Tên TM: Anycoat-C (Hypromellose)),"Lotte Fine Chemical Co., Ltd",Korea,USP hiện hành
VD-23417-15,2026-10-08T00:00:00+07:00,Pregelatinized Starch (Tên TM: 341001- Kleptose® - Betadex),Roquette Freres,France,USP hiện hành
VD-23417-15,2026-10-08T00:00:00+07:00,Opadry II 85G28725 White (Tên TM: Opadry®II Complete Film coating system 85G28725 white),Shanghai Colorcon Coating Technology Limited,China,TCNSX
VD-23417-15,2026-10-08T00:00:00+07:00,Microcrystalline Cellulose (Tên TM: Microcrystalline Cellulose Type M112),Mingtai chemical Co. Ltd.,Taiwan,USP hiện hành
VD-23417-15,2026-10-08T00:00:00+07:00,Magnesium Stearate,Sudeep Pharma Private Limited,India,USP hiện hành
VD-23417-15,2026-10-08T00:00:00+07:00,Magnesium Stearate (Tên TM: Palmstar Mgst 325-BP/USP/EP Magnesium Stearate),Peter Greven Asia SDN BHD,Malaysia,USP hiện hành
VD-23417-15,2026-10-08T00:00:00+07:00,Crospovidone Micronized (Tên TM: Polyplasdone (TM) INF-10 Crospovidone Type B,Ashland Specialty Ingredients ISP Chemical LLC,USA,USP hiện hành
VD-23417-15,2026-10-08T00:00:00+07:00,Croscarmellose Sodium (Tên TM: Vivasol GF),JRS Pharma & Gujarat Microwax Private Limited,India,USP hiện hành
VD-23417-15,2026-10-08T00:00:00+07:00,Croscarmellose Sodium (Tên TM: Primellose®),DFE Pharma GMBH & Co. KG (Production site: DFE Pharma B.V.),The Netherlands,USP hiện hành
VD-23417-15,2026-10-08T00:00:00+07:00,Colloidal Silicon Dioxide  (Tên TM: CAB-O-SIL M5P),Cabot GmbH,Germany,USP hiện hành
VD-34380-20,2025-06-15T00:00:00+07:00,Polyoxyl 40 stearat (Tên thương mại:SP MYRJ S40 MBAL-PW-(MV)),CRODA EUROPE LIMITED,Spain,NF 35
VD-23351-15,2022-12-31T00:00:00+07:00,Antifoam-Emulsion (Wacker® AS-EM SE 2 MC),"Wacker Chemie AG, Werk Nünchritz",Germany,In-house
VD-18846-13,2022-12-31T00:00:00+07:00,Malt flavor (Tên TM: Malt flavor A-971111),"Bolak Co., Ltd",Korea,In-house
VD-18846-13,2022-12-31T00:00:00+07:00,Peppermint flavor (Tên TM: Peppermint flavor A-971112),"Bolak Co., Ltd",Korea,In-house
VD-18846-13,2022-12-31T00:00:00+07:00,Chlorhexidine Diacetate (Chlorhexidine acetate),Medichem Spain,Spain,EP10
VD-18846-13,2022-12-31T00:00:00+07:00,Avicel 591 (Microcrystalline cellulose and carboxymethylcellulose sodium),"MINGTAI CHEMICAL CO., LTD",Taiwan,USP43/ NF38
VD-18846-13,2022-12-31T00:00:00+07:00,Povidone K-30,ISP (Singapore) Pte Ltd,Singapore,USP43/ NF38
VD-18846-13,2022-12-31T00:00:00+07:00,Stevion 100S,"DAE PYUNG CO., LTD.",Korea,In-house
VD-18846-13,2022-12-31T00:00:00+07:00,Glycyrrhizic acid (Glycyrrhizinic acid) (Tên TM: Glycyrrhizinic acid (98% Up)),"ALPS PHARMACEUTICAL IND.CO., LTD.",Japan,In-house
VD-18846-13,2022-12-31T00:00:00+07:00,Xylitol (Tên TM: Xylisorb 300),ROQUETTE (Roquette Freres),France,USP43/ NF38
VD-18846-13,2022-12-31T00:00:00+07:00,Xanthan gum,ARTHUR BRANWELL,United Kingdom,USP43/ NF38
VD-18846-13,2022-12-31T00:00:00+07:00,Non-crystallizing sorbitol solution (Tên TM : Non- Crystallized Sorbitol (B.P)),"PAIK KWANG INDUSTRIAL CO., LTD.",Korea,BP2020
VD-25958-16,2023-01-26T00:00:00+07:00,Magnesium stearate,NITIKA PHARMACEUTICAL SPECIALITIES PVT. LTD.,India,USP 38-NF 33
VD-25958-16,2023-01-26T00:00:00+07:00,Sodium starch glycolate,BLANVER FARMOQUIMICA E FARMACEUTICA S.A,Brazil,USP 38-NF 33
VD-25958-16,2023-01-26T00:00:00+07:00,Low-substituted hydroxypropyl cellulose,HUZHOU ZHANWANG PHARMACEUTICAL CO.LTD,China,USP 38-NF 33
VD-25958-16,2023-01-26T00:00:00+07:00,Microcrystalline cellulose PH 102,"MINGTAI CHEMICAL CO., LTD.","Taiwan, R.O.C",USP 38-NF 33
VD-25958-16,2023-01-26T00:00:00+07:00,Microcrystalline cellulose PH 102,"WEIMING PHARMACEUTICAL MFG CO.,LTD","Taiwan, R.O.C",USP 38-NF 33
VD-25958-16,2023-01-26T00:00:00+07:00,Flowlac 100,MEGGLE (Molkerei Meggle Wasserburg GmbH & Co. KG),Germany,USP 38-NF 33
VD-21761-14,2022-12-31T00:00:00+07:00,Propylparaben,"San Fu Chemical  Co., Ltd",China,USP38/ NF33
VD-21761-14,2022-12-31T00:00:00+07:00,Methylparaben,"San Fu Chemical  Co., Ltd",China,USP38/ NF33
VD-21761-14,2022-12-31T00:00:00+07:00,Sorbitan  Monostearate( Tên TM:Span 60-PW-( AP)),Croda,USA,In - house
VD-21761-14,2022-12-31T00:00:00+07:00,Polysorbate 60( Tên TM: Tween 60-LQ-( AP)),Croda,USA,In - house
VD-21761-14,2022-12-31T00:00:00+07:00,Propylene Glycol,Dow Chemical KoreaLtd.  (HONG KONG BRANCH),China,USP38/ NF33
VD-21761-14,2022-12-31T00:00:00+07:00,Light Mineral Oil ( Tên TM: Carnation White  Mineral oil ),SONNEBORN,USA,USP38/ NF33
VD-21761-14,2022-12-31T00:00:00+07:00,Cetyl Alcohol,MOSSELMAN,Belgium,EP8
VD-21761-14,2022-12-31T00:00:00+07:00,Stearyl Alcohol,MOSSELMAN,Belgium,EP8
VD-23962-15,2022-12-31T00:00:00+07:00,METHOCEL™ E6 Premium LV Hydroxypropyl Methylcellulose,"Nutrition & Biosciences USA 1, LLC",United States,EP 9.6
VD-34465-20,2025-06-15T00:00:00+07:00,Eudragit® L 30 D-55 (Methacrylic acid-ethyl acrylate copolymer (1:1) dispersion 30%),Evonik Operations GmbH,Germany,EP 9.0
VD-32555-19,2024-03-20T00:00:00+07:00,Florite R,"Tomita Pharmaceutical Co.,Ltd",Japan,USP 40
VD-25331-16,2023-02-14T00:00:00+07:00,Isomalt DC101,Beneo- Palatinit GmbH,Germany,Food Chemicals Codex
VD-18595-13,2022-12-31T00:00:00+07:00,855995 Banana Flavor 9/H04518,Symrise Asia Pacific Pte. Ltd,Singapore,TCNSX
VD-18595-13,2022-12-31T00:00:00+07:00,855995 Banana Flavor 9/H04518,Symrise Asia Pacific Pte. Ltd,Singapore,TCNSX
VD-18595-13,2022-12-31T00:00:00+07:00,Saccharin Sodium,JMC Corporation,Hàn Quốc,EP hiện hành
VD-34909-20,2025-12-21T00:00:00+07:00,Klucel LF PHARM (Hydroxypropyl cellulose),Ashland Specialty Ingredients G.P,USA,EP 9.0
VD-24564-16,2022-12-31T00:00:00+07:00,Mannitol (Pearlitol 200 SD),Roquette Freres,France,EP 10.0
VD-24564-16,2022-12-31T00:00:00+07:00,Sodium Stearyl Fumarate ( PRUV®),MOEHS CANTABRA (JRS PHARMA GmbH & Co. KG),Spain,EP 10.0
VD-24564-16,2022-12-31T00:00:00+07:00,Orange essential oil concentrated in a dehydrated gel (Acacia Gum/Maltodextrin) (PULVESSENCE ORANGE 5000),GATTEFOSSÉ SAS,France,In-house
VD-27529-17,2022-12-31T00:00:00+07:00,Opadry® complete film coating system 03B82923 yellow,Shanghai Colorcon Coating Technology Limited,China,In-house
VD-30106-18,2023-03-27T00:00:00+07:00,Vivapur® 12 (Microcrystalline Cellulose),"JRS PHARMA GmbH & Co. KG (Manufacturing site: Weissenborn, Germany)",Germany,EP 10.0
VD-22013-14,2022-12-31T00:00:00+07:00,Opadry® AMB aqueous moisture barrier coating system 80W64910 pink,Shanghai Colorcon Coating Technology Limited,China,In-house
VD-21105-14,2027-05-25T00:00:00+07:00,Opadry® II complete film coating system  85F32004 yellow,Shanghai Colorcon Coating Technology Limited,China,In-house
VD-31395-18,2023-10-08T00:00:00+07:00,Opadry® complete film coating system  20H52875 yellow,Shanghai Colorcon Coating Technology Limited,China,In-house
VD-33095-19,2024-08-01T00:00:00+07:00,Magnesium Stearate,Peter Greven Nederland C.V.,Netherlands,EP 10.0
VD-29501-18,2023-02-22T00:00:00+07:00,Lycatab DSH (Maltodextrin),Roquette Freres,France,EP 10.0
VD-29501-18,2023-02-22T00:00:00+07:00,METHOCEL™ K100 Premium LVCR Hydroxypropyl Methylcellulose,"Nutrition & Biosciences USA 1, LLC",United States,EP 10.0
VD-33897-19,2024-10-23T00:00:00+07:00,SP TWEEN 80 EXP MBAL-LQ-(SG) (POLYSORBATE 80),Croda Singapore Pte Ltd,Singapore,EP 9.0
VD-34465-20,2025-06-15T00:00:00+07:00,Acetyltriethyl citrate (ATEC NF),Vertellus LLC,USA,USP 39
VD-27518-17,2022-12-31T00:00:00+07:00,Sodium Saccharin,"Aisan Chemical Co., Ltd.",Japan,EP 10.0
VD-32070-19,2024-02-27T00:00:00+07:00,Tefose 63,Gattefossé SAS,France,Nhà sản xuất
VD-32070-19,2024-02-27T00:00:00+07:00,Labrafilm M 1944 CS,Gattefossé SAS,France,USP 38
VD-24354-16,2022-12-31T00:00:00+07:00,Compressuc MS,Tereos,France,USP 34
VD-26338-17,2022-12-31T00:00:00+07:00,Xanthan gum,Starlight Products,France,USP 34
VD-33389-19,2024-10-23T00:00:00+07:00,Gelatin,"SAMMI INDUSTRIAL CO., LTD",Korea,USP 38-NF 33
VD-25139-16,2027-05-25T00:00:00+07:00,Microcelac 100,MEGGLE,Germany,In-house
VD-18854-13,2022-12-31T00:00:00+07:00,SUPERTAB 14SD (SPRAY DRIED LACTOSE MONOHYDRATE),DFE PHARMA GMBH & CO.KG,Germany,EP phiên bản hiện hành
